P_ID,P_NAME,PRICE_$,P_TYPE
1,Core i5 13600K,408,CPU
2,Core i7 13790F,499,CPU
3,Core i9 13900KF,719,CPU
4,MSI Pro Z790-A,505,Motherboard
5,ASUS ROG Maximus Z790 HERO,798,Motherboard
6,Gigabyte Z690 Aero D,383,Motherboard
7,Nvidia RTX 4070 Ti 12GB GDDR6X,1329,GPU
8,Nvidia RTX 4080 16GB GDDR6,1699,GPU
9,Nvidia RTX 4090 24GB GDDR6,2099,GPU
10,GSkill Trident Z5 2 x 32GB DDR5 6400MHZ,317,Memory
11,Corsair Vengeance 2 x 32GB DDR5 6400MHZ,324,Memory
12,Samsung 990 Pro 2TB,324,Storage
13,WD Black SN850X 2TB,169,Storage
14,MSI MAG Series CORELIQUID 360R V2,259,Cooler
15,ARCTIC Liquid Freezer II 360 A-RGB,219,Cooler
16,MSI MPG A1000G PCIE 5 80 Plus Gold 1000W,723,PSU
17,Corsair HXi 1500-Watt ATX Modular Power Supply,529,PSU
